ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0303584442793,0.00291727653131,0.0591503822044,0.192525195137,0.715048701848
2,0.69422673779,0.000142620053389,0.0130620609078,0.165721422645,0.126847158604
3,0.647751389948,0.00253498139964,0.00922438120547,0.0717422452302,0.268747002217
4,0.0911052778546,0.000923700671551,0.0489718972905,0.418242565307,0.440756558877
5,0.535981896139,0.000179594525165,0.00637903565663,0.312130303773,0.145329169906
6,0.285227897853,0.0038677878746,0.0142969821915,0.331063901587,0.365543430494
7,0.0455465885468,0.0118096789927,0.274656789087,0.382186569879,0.285800373494
8,0.590606018328,0.00883172532729,0.00704240224642,0.0350109368813,0.358508917217
9,0.669949917307,1.39565801873e-05,0.00550479451277,0.186692410272,0.137838921328
10,0.510452150101,0.000697534812793,0.0400381873658,0.324901266453,0.123910861267
11,0.669536743847,0.000593973223256,0.00766151315029,0.220053843189,0.102153926591
12,0.0373507933104,0.00166906538437,0.210488116814,0.335488367401,0.41500365709
13,0.62187476695,0.00339233863932,0.0324049526855,0.212791090061,0.129536851665
14,0.674382235827,0.00115320829172,0.0160899700699,0.0479597635507,0.260414822261
15,0.666307936025,0.000477062572016,0.0122955674015,0.257984853518,0.0629345804837
16,0.650440432145,0.000661433928363,0.00662799320974,0.256078317111,0.0861918236061
17,0.272975348232,0.000643318821251,0.0533214723522,0.561799281879,0.111260578715
18,0.56846999155,0.000343430011762,0.0124937367099,0.337159778028,0.0815330637002
19,0.62415463038,0.00698414843758,0.0112580255426,0.0862256941678,0.271377501472
20,0.0310631468805,0.0036878151962,0.205922012141,0.0105532331012,0.748773792681
21,0.792716304426,0.00267120815675,0.00963367957792,0.084641698889,0.110337108951
22,0.00407068703711,0.0184465009706,0.0667802015643,0.00424439111676,0.906458219311
23,0.506976453824,0.00119364218031,0.0147849930974,0.232858287845,0.244186623053
24,0.0813038562164,0.010655983487,0.0707011383162,0.00314125861308,0.834197763367
25,0.6480780829,0.000332591048567,0.0143385227705,0.154930860161,0.18231994312
26,0.459946869751,0.00167082205953,0.0666407452737,0.0196214823235,0.452120080592
27,0.870248422809,0.00360659830103,0.00887477936946,0.0209993414773,0.0962708580429
28,0.0261431127202,0.0344968637373,0.163131926126,0.0287977633408,0.747430334076
29,0.55537364246,0.0010916625252,0.022997162472,0.283003880166,0.137533652377
30,0.533689633169,0.00066171407732,0.0181495802642,0.353924936357,0.0935741361331
31,0.584408336877,0.00760169273625,0.0236590547409,0.11127383763,0.273057078016
32,0.626602292219,0.00105655478202,0.00595129312358,0.118161368291,0.248228491585
33,0.557043573532,0.00267268974341,0.0848354351735,0.0191493579996,0.336298943552
34,0.720244699299,0.00109222816143,0.00414015183232,0.0999819447064,0.174540976001
35,0.112342358007,0.00874471934979,0.0183866154542,0.017760464844,0.842765842345
36,0.542161259847,0.00162683189451,0.0243528612369,0.193164414595,0.238694632427
37,0.249619021736,0.00600313064626,0.101985866624,0.0348521647061,0.607539816288
38,0.643051376236,0.000757733752781,0.009052577824,0.236611982439,0.110526329748
39,0.572022073061,0.000236370811476,0.0221193057457,0.221336679919,0.184285570463
40,0.60681959601,0.00281364137989,0.0268356566315,0.036338323672,0.327192782307
41,0.036640441642,0.00238738692941,0.0153647520329,0.405571704021,0.540035715375
42,0.0239279209855,0.0124105667445,0.0839752474309,0.00222954848341,0.877456716356
43,0.639729161615,0.00436857643303,0.0114600283774,0.0518846186571,0.292557614918
44,0.0191855950372,0.0432669127668,0.107155871115,0.00161474438036,0.828776876701
45,0.307553081786,0.00149082196922,0.0341928995927,0.0532680858463,0.603495110805
